% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.572	1	2	158	3	3	28	3062
1.589	1	3	159	10	1	28	3062
1.589	1	1	159	10	2	28	3062
1.589	1	2	159	10	3	28	3062
1.59	1	3	160	1	1	28	3062
1.59	1	1	160	1	2	28	3062
1.59	1	2	160	1	3	28	3062
1.591	1	3	160	2	1	28	3062
1.591	1	1	160	2	2	28	3062
1.591	1	2	160	2	3	28	3062
1.592	1	3	160	3	1	28	3062
1.592	1	1	160	3	2	28	3062
1.592	1	2	160	3	3	28	3062
1.593	1	3	160	4	1	28	3062
1.593	1	1	160	4	2	28	3062
1.593	1	2	160	4	3	28	3062
1.594	1	3	160	5	1	28	3062
1.594	1	1	160	5	2	28	3062
1.594	1	2	160	5	3	28	3062
1.595	1	3	160	6	1	28	3062
1.595	1	1	160	6	2	28	3062
1.595	1	2	160	6	3	28	3062
1.596	1	3	160	7	1	28	3062
1.596	1	1	160	7	2	28	3062
1.596	1	2	160	7	3	28	3062
1.597	1	3	160	8	1	28	3062
1.597	1	1	160	8	2	28	3062
1.597	1	2	160	8	3	28	3062
1.598	1	3	160	9	1	28	3062
1.598	1	1	160	9	2	28	3062
1.598	1	2	160	9	3	28	3062
1.599	1	3	160	10	1	28	3062
1.599	1	1	160	10	2	28	3062
1.599	1	2	160	10	3	28	3062
1.6	1	3	161	1	1	28	3062
1.6	1	1	161	1	2	28	3062
1.6	1	2	161	1	3	28	3062
1.601	1	3	161	2	1	28	3062
1.601	1	1	161	2	2	28	3062
1.601	1	2	161	2	3	28	3062
1.602	1	3	161	3	1	28	3062
1.602	1	1	161	3	2	28	3062
1.602	1	2	161	3	3	28	3062
1.603	1	3	161	4	1	28	3062
1.603	1	1	161	4	2	28	3062
1.603	1	2	161	4	3	28	3062
1.604	1	3	161	5	1	28	3062
1.604	1	1	161	5	2	28	3062
1.604	1	2	161	5	3	28	3062
1.605	1	3	161	6	1	28	3062
1.605	1	1	161	6	2	28	3062
1.605	1	2	161	6	3	28	3062
1.606	1	3	161	7	1	28	3062
1.606	1	1	161	7	2	28	3062
1.606	1	2	161	7	3	28	3062
1.607	1	3	161	8	1	28	3062
1.607	1	1	161	8	2	28	3062
1.607	1	2	161	8	3	28	3062
1.608	1	3	161	9	1	28	3062
1.608	1	1	161	9	2	28	3062
1.608	1	2	161	9	3	28	3062
1.609	1	3	161	10	1	28	3062
1.609	1	1	161	10	2	28	3062
1.609	1	2	161	10	3	28	3062
1.61	1	3	162	1	1	28	3062
1.61	1	1	162	1	2	28	3062
1.61	1	2	162	1	3	28	3062
1.611	1	3	162	2	1	28	3062
1.611	1	1	162	2	2	28	3062
1.611	1	2	162	2	3	28	3062
1.612	1	3	162	3	1	28	3062
1.612	1	1	162	3	2	28	3062
1.612	1	2	162	3	3	28	3062
1.613	1	3	162	4	1	28	3062
1.613	1	1	162	4	2	28	3062
1.613	1	2	162	4	3	28	3062
1.614	1	3	162	5	1	28	3062
1.614	1	1	162	5	2	28	3062
1.614	1	2	162	5	3	28	3062
1.615	1	3	162	6	1	28	3062
1.615	1	1	162	6	2	28	3062
1.615	1	2	162	6	3	28	3062
1.616	1	3	162	7	1	28	3062
1.616	1	1	162	7	2	28	3062
1.616	1	2	162	7	3	28	3062
1.617	1	3	162	8	1	28	3062
1.617	1	1	162	8	2	28	3062
1.617	1	2	162	8	3	28	3062
1.618	1	3	162	9	1	28	3062
1.618	1	1	162	9	2	28	3062
1.618	1	2	162	9	3	28	3062
1.619	1	3	162	10	1	28	3062
1.619	1	1	162	10	2	28	3062
1.619	1	2	162	10	3	28	3062
1.62	1	3	163	1	1	28	3062
1.62	1	1	163	1	2	28	3062
1.62	1	2	163	1	3	28	3062
1.621	1	3	163	2	1	28	3062
1.621	1	1	163	2	2	28	3062
1.621	1	2	163	2	3	28	3062
1.622	1	3	163	3	1	28	3062
1.622	1	1	163	3	2	28	3062
1.622	1	2	163	3	3	28	3062
1.623	1	3	163	4	1	28	3062
1.623	1	1	163	4	2	28	3062
1.623	1	2	163	4	3	28	3062
1.624	1	3	163	5	1	28	3062
1.624	1	1	163	5	2	28	3062
1.624	1	2	163	5	3	28	3062
1.625	1	3	163	6	1	28	3062
1.625	1	1	163	6	2	28	3062
1.625	1	2	163	6	3	28	3062
1.626	1	3	163	7	1	28	3062
1.626	1	1	163	7	2	28	3062
1.626	1	2	163	7	3	28	3062
1.627	1	3	163	8	1	28	3062
1.627	1	1	163	8	2	28	3062
1.627	1	2	163	8	3	28	3062
1.628	1	3	163	9	1	28	3062
1.628	1	1	163	9	2	28	3062
1.628	1	2	163	9	3	28	3062
1.629	1	3	163	10	1	28	3062
1.629	1	1	163	10	2	28	3062
1.629	1	2	163	10	3	28	3062
1.63	1	3	164	1	1	28	3062
1.63	1	1	164	1	2	28	3062
1.63	1	2	164	1	3	28	3062
1.631	1	3	164	2	1	28	3062
1.631	1	1	164	2	2	28	3062
1.631	1	2	164	2	3	28	3062
1.632	1	3	164	3	1	28	3062
1.632	1	1	164	3	2	28	3062
1.632	1	2	164	3	3	28	3062
1.633	1	3	164	4	1	28	3062
1.633	1	1	164	4	2	28	3062
1.633	1	2	164	4	3	28	3062
1.634	1	3	164	5	1	28	3062
1.634	1	1	164	5	2	28	3062
1.634	1	2	164	5	3	28	3062
1.636	1	3	164	7	1	28	3062
1.636	1	1	164	7	2	28	3062
1.636	1	2	164	7	3	28	3062
1.637	1	3	164	8	1	28	3062
1.637	1	1	164	8	2	28	3062
1.637	1	2	164	8	3	28	3062
1.638	1	3	164	9	1	28	3062
1.638	1	1	164	9	2	28	3062
1.638	1	2	164	9	3	28	3062
1.639	1	3	164	10	1	28	3062
1.639	1	1	164	10	2	28	3062
1.639	1	2	164	10	3	28	3062
1.64	1	3	165	1	1	28	3062
1.64	1	1	165	1	2	28	3062
1.64	1	2	165	1	3	28	3062
1.641	1	3	165	2	1	28	3062
1.641	1	1	165	2	2	28	3062
1.641	1	2	165	2	3	28	3062
1.642	1	3	165	3	1	28	3062
1.642	1	1	165	3	2	28	3062
1.642	1	2	165	3	3	28	3062
1.643	1	3	165	4	1	28	3062
1.643	1	1	165	4	2	28	3062
1.643	1	2	165	4	3	28	3062
1.644	1	3	165	5	1	28	3062
1.644	1	1	165	5	2	28	3062
1.644	1	2	165	5	3	28	3062
1.645	1	3	165	6	1	28	3062
1.645	1	1	165	6	2	28	3062
1.645	1	2	165	6	3	28	3062
1.646	1	3	165	7	1	28	3062
1.646	1	1	165	7	2	28	3062
1.646	1	2	165	7	3	28	3062
1.647	1	3	165	8	1	28	3062
1.647	1	1	165	8	2	28	3062
1.647	1	2	165	8	3	28	3062
1.648	1	3	165	9	1	28	3062
1.648	1	1	165	9	2	28	3062
1.648	1	2	165	9	3	28	3062
1.649	1	3	165	10	1	28	3062
1.649	1	1	165	10	2	28	3062
1.649	1	2	165	10	3	28	3062
1.65	1	3	166	1	1	28	3062
1.65	1	1	166	1	2	28	3062
1.65	1	2	166	1	3	28	3062
1.651	1	3	166	2	1	28	3062
1.651	1	1	166	2	2	28	3062
1.651	1	2	166	2	3	28	3062
1.652	1	3	166	3	1	28	3062
1.652	1	1	166	3	2	28	3062
1.652	1	2	166	3	3	28	3062
1.653	1	3	166	4	1	28	3062
1.653	1	1	166	4	2	28	3062
1.653	1	2	166	4	3	28	3062
1.654	1	3	166	5	1	28	3062
1.654	1	1	166	5	2	28	3062
1.654	1	2	166	5	3	28	3062
1.655	1	3	166	6	1	28	3062
1.655	1	1	166	6	2	28	3062
1.655	1	2	166	6	3	28	3062
1.656	1	3	166	7	1	28	3062
1.656	1	1	166	7	2	28	3062
1.656	1	2	166	7	3	28	3062
1.657	1	3	166	8	1	28	3062
1.657	1	1	166	8	2	28	3062
1.657	1	2	166	8	3	28	3062
1.658	1	3	166	9	1	28	3062
1.658	1	1	166	9	2	28	3062
1.658	1	2	166	9	3	28	3062
1.659	1	3	166	10	1	28	3062
1.659	1	1	166	10	2	28	3062
1.659	1	2	166	10	3	28	3062
1.66	1	3	167	1	1	28	3062
1.66	1	1	167	1	2	28	3062
1.66	1	2	167	1	3	28	3062
1.661	1	3	167	2	1	28	3062
1.661	1	1	167	2	2	28	3062
1.661	1	2	167	2	3	28	3062
1.662	1	3	167	3	1	28	3062
1.662	1	1	167	3	2	28	3062
1.662	1	2	167	3	3	28	3062
1.663	1	3	167	4	1	28	3062
1.663	1	1	167	4	2	28	3062
1.663	1	2	167	4	3	28	3062
1.664	1	3	167	5	1	28	3062
1.664	1	1	167	5	2	28	3062
1.664	1	2	167	5	3	28	3062
1.665	1	3	167	6	1	28	3062
1.665	1	1	167	6	2	28	3062
1.665	1	2	167	6	3	28	3062
1.666	1	3	167	7	1	28	3062
1.666	1	1	167	7	2	28	3062
1.666	1	2	167	7	3	28	3062
1.667	1	3	167	8	1	28	3062
1.667	1	1	167	8	2	28	3062
1.667	1	2	167	8	3	28	3062
1.668	1	3	167	9	1	28	3062
1.668	1	1	167	9	2	28	3062
1.668	1	2	167	9	3	28	3062
1.669	1	3	167	10	1	28	3062
1.669	1	1	167	10	2	28	3062
1.669	1	2	167	10	3	28	3062
1.67	1	3	168	1	1	28	3062
1.67	1	1	168	1	2	28	3062
1.67	1	2	168	1	3	28	3062
1.671	1	3	168	2	1	28	3062
1.671	1	1	168	2	2	28	3062
1.671	1	2	168	2	3	28	3062
1.672	1	3	168	3	1	28	3062
1.672	1	1	168	3	2	28	3062
1.672	1	2	168	3	3	28	3062
1.673	1	3	168	4	1	28	3062
1.673	1	1	168	4	2	28	3062
1.673	1	2	168	4	3	28	3062
1.674	1	3	168	5	1	28	3062
1.674	1	1	168	5	2	28	3062
1.674	1	2	168	5	3	28	3062
1.675	1	3	168	6	1	28	3062
1.675	1	1	168	6	2	28	3062
1.675	1	2	168	6	3	28	3062
1.676	1	3	168	7	1	28	3062
1.676	1	1	168	7	2	28	3062
1.676	1	2	168	7	3	28	3062
1.677	1	3	168	8	1	28	3062
1.677	1	1	168	8	2	28	3062
1.677	1	2	168	8	3	28	3062
1.678	1	3	168	9	1	28	3062
1.678	1	1	168	9	2	28	3062
1.678	1	2	168	9	3	28	3062
1.679	1	3	168	10	1	28	3062
1.679	1	1	168	10	2	28	3062
1.679	1	2	168	10	3	28	3062
1.68	1	3	169	1	1	28	3062
1.68	1	1	169	1	2	28	3062
1.68	1	2	169	1	3	28	3062
1.681	1	3	169	2	1	28	3062
1.681	1	1	169	2	2	28	3062
1.681	1	2	169	2	3	28	3062
1.682	1	3	169	3	1	28	3062
1.682	1	1	169	3	2	28	3062
1.682	1	2	169	3	3	28	3062
1.683	1	3	169	4	1	28	3062
1.683	1	1	169	4	2	28	3062
1.683	1	2	169	4	3	28	3062
1.684	1	3	169	5	1	28	3062
1.684	1	1	169	5	2	28	3062
1.684	1	2	169	5	3	28	3062
1.685	1	3	169	6	1	28	3062
1.685	1	1	169	6	2	28	3062
1.685	1	2	169	6	3	28	3062
1.686	1	3	169	7	1	28	3062
1.686	1	1	169	7	2	28	3062
1.686	1	2	169	7	3	28	3062
1.687	1	3	169	8	1	28	3062
1.687	1	1	169	8	2	28	3062
1.687	1	2	169	8	3	28	3062
1.688	1	3	169	9	1	28	3062
1.688	1	1	169	9	2	28	3062
1.688	1	2	169	9	3	28	3062
1.689	1	3	169	10	1	28	3062
1.689	1	1	169	10	2	28	3062
1.689	1	2	169	10	3	28	3062
1.69	1	3	170	1	1	28	3062
1.69	1	1	170	1	2	28	3062
1.69	1	2	170	1	3	28	3062
1.691	1	3	170	2	1	28	3062
1.691	1	1	170	2	2	28	3062
1.691	1	2	170	2	3	28	3062
1.692	1	3	170	3	1	28	3062
1.692	1	1	170	3	2	28	3062
1.692	1	2	170	3	3	28	3062
1.693	1	3	170	4	1	28	3062
1.693	1	1	170	4	2	28	3062
1.693	1	2	170	4	3	28	3062
1.694	1	3	170	5	1	28	3062
1.694	1	1	170	5	2	28	3062
1.694	1	2	170	5	3	28	3062
1.695	1	3	170	6	1	28	3062
1.695	1	1	170	6	2	28	3062
1.695	1	2	170	6	3	28	3062
1.696	1	3	170	7	1	28	3062
1.696	1	1	170	7	2	28	3062
1.696	1	2	170	7	3	28	3062
1.697	1	3	170	8	1	28	3062
1.697	1	1	170	8	2	28	3062
1.697	1	2	170	8	3	28	3062
1.698	1	3	170	9	1	28	3062
1.698	1	1	170	9	2	28	3062
1.698	1	2	170	9	3	28	3062
1.699	1	3	170	10	1	28	3062
1.699	1	1	170	10	2	28	3062
1.699	1	2	170	10	3	28	3062
1.7	1	3	171	1	1	28	3062
1.7	1	1	171	1	2	28	3062
1.7	1	2	171	1	3	28	3062
1.701	1	3	171	2	1	28	3062
1.701	1	1	171	2	2	28	3062
1.701	1	2	171	2	3	28	3062
1.702	1	3	171	3	1	28	3062
1.702	1	1	171	3	2	28	3062
1.702	1	2	171	3	3	28	3062
1.703	1	3	171	4	1	28	3062
1.703	1	1	171	4	2	28	3062
1.703	1	2	171	4	3	28	3062
1.704	1	3	171	5	1	28	3062
1.704	1	1	171	5	2	28	3062
1.704	1	2	171	5	3	28	3062
1.705	1	3	171	6	1	28	3062
1.705	1	1	171	6	2	28	3062
1.705	1	2	171	6	3	28	3062
1.706	1	3	171	7	1	28	3062
1.706	1	1	171	7	2	28	3062
1.706	1	2	171	7	3	28	3062
1.707	1	3	171	8	1	28	3062
1.707	1	1	171	8	2	28	3062
1.707	1	2	171	8	3	28	3062
1.708	1	3	171	9	1	28	3062
1.708	1	1	171	9	2	28	3062
1.708	1	2	171	9	3	28	3062
1.709	1	3	171	10	1	28	3062
1.709	1	1	171	10	2	28	3062
1.709	1	2	171	10	3	28	3062
1.71	1	3	172	1	1	28	3062
1.71	1	1	172	1	2	28	3062
1.71	1	2	172	1	3	28	3062
1.711	1	3	172	2	1	28	3062
1.711	1	1	172	2	2	28	3062
1.711	1	2	172	2	3	28	3062
1.712	1	3	172	3	1	28	3062
1.712	1	1	172	3	2	28	3062
1.712	1	2	172	3	3	28	3062
1.713	1	3	172	4	1	28	3062
1.713	1	1	172	4	2	28	3062
1.713	1	2	172	4	3	28	3062
1.714	1	3	172	5	1	28	3062
1.714	1	1	172	5	2	28	3062
1.714	1	2	172	5	3	28	3062
1.715	1	3	172	6	1	28	3062
1.715	1	1	172	6	2	28	3062
1.715	1	2	172	6	3	28	3062
1.716	1	3	172	7	1	28	3062
1.716	1	1	172	7	2	28	3062
1.716	1	2	172	7	3	28	3062
1.717	1	3	172	8	1	28	3062
1.717	1	1	172	8	2	28	3062
1.717	1	2	172	8	3	28	3062
1.718	1	3	172	9	1	28	3062
1.718	1	1	172	9	2	28	3062
1.718	1	2	172	9	3	28	3062
1.719	1	3	172	10	1	28	3062
1.719	1	1	172	10	2	28	3062
1.719	1	2	172	10	3	28	3062
1.72	1	3	173	1	1	28	3062
1.72	1	1	173	1	2	28	3062
1.72	1	2	173	1	3	28	3062
1.721	1	3	173	2	1	28	3062
1.721	1	1	173	2	2	28	3062
1.721	1	2	173	2	3	28	3062
1.722	1	3	173	3	1	28	3062
1.722	1	1	173	3	2	28	3062
1.722	1	2	173	3	3	28	3062
1.723	1	3	173	4	1	28	3062
1.723	1	1	173	4	2	28	3062
1.723	1	2	173	4	3	28	3062
1.724	1	3	173	5	1	28	3062
1.724	1	1	173	5	2	28	3062
1.724	1	2	173	5	3	28	3062
1.725	1	3	173	6	1	28	3062
1.725	1	1	173	6	2	28	3062
1.725	1	2	173	6	3	28	3062
1.726	1	3	173	7	1	28	3062
1.726	1	1	173	7	2	28	3062
1.726	1	2	173	7	3	28	3062
1.727	1	3	173	8	1	28	3062
1.727	1	1	173	8	2	28	3062
1.727	1	2	173	8	3	28	3062
1.728	1	3	173	9	1	28	3062
1.728	1	1	173	9	2	28	3062
1.728	1	2	173	9	3	28	3062
1.729	1	3	173	10	1	28	3062
1.729	1	1	173	10	2	28	3062
1.729	1	2	173	10	3	28	3062
1.73	1	3	174	1	1	28	3062
1.73	1	1	174	1	2	28	3062
1.73	1	2	174	1	3	28	3062
1.731	1	3	174	2	1	28	3062
1.731	1	1	174	2	2	28	3062
1.731	1	2	174	2	3	28	3062
1.732	1	3	174	3	1	28	3062
1.732	1	1	174	3	2	28	3062
1.732	1	2	174	3	3	28	3062
1.733	1	3	174	4	1	28	3062
1.733	1	1	174	4	2	28	3062
1.733	1	2	174	4	3	28	3062
1.734	1	3	174	5	1	28	3062
1.734	1	1	174	5	2	28	3062
1.734	1	2	174	5	3	28	3062
