% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
4.16	1	1	417	1	1	28	4395	0	0	47
4.161	1	1	417	2	1	28	4395	0	0	47
4.162	1	1	417	3	1	28	4395	0	0	47
4.163	1	1	417	4	1	28	4395	0	0	47
4.164	1	1	417	5	1	28	4395	0	0	47
4.165	1	1	417	6	1	28	4395	0	0	47
4.166	1	1	417	7	1	28	4395	0	0	47
4.167	1	1	417	8	1	28	4395	0	0	47
4.168	1	1	417	9	1	28	4395	0	0	47
4.169	1	1	417	10	1	28	4395	0	0	47
4.17	1	1	418	1	1	28	4395	0	0	47
4.171	1	1	418	2	1	28	4395	0	0	47
4.172	1	1	418	3	1	28	4395	0	0	47
4.173	1	1	418	4	1	28	4395	0	0	47
4.174	1	1	418	5	1	28	4395	0	0	47
4.175	1	1	418	6	1	28	4395	0	0	47
4.176	1	1	418	7	1	28	4395	0	0	47
4.177	1	1	418	8	1	28	4395	0	0	47
4.178	1	1	418	9	1	28	4395	0	0	47
4.179	1	1	418	10	1	28	4395	0	0	47
4.18	1	1	419	1	1	28	4395	0	0	47
4.181	1	1	419	2	1	28	4395	0	0	47
4.182	1	1	419	3	1	28	4395	0	0	47
4.183	1	1	419	4	1	28	4395	0	0	47
4.184	1	1	419	5	1	28	4395	0	0	47
4.185	1	1	419	6	1	28	4395	0	0	47
4.186	1	1	419	7	1	28	4395	0	0	47
4.187	1	1	419	8	1	28	4395	0	0	47
4.188	1	1	419	9	1	28	4395	0	0	47
4.189	1	1	419	10	1	28	4395	0	0	47
4.19	1	1	420	1	1	28	4395	0	0	47
4.191	1	1	420	2	1	28	4395	0	0	47
4.192	1	1	420	3	1	28	4395	0	0	47
4.193	1	1	420	4	1	28	4395	0	0	47
4.194	1	1	420	5	1	28	4395	0	0	47
4.195	1	1	420	6	1	28	4395	0	0	47
4.196	1	1	420	7	1	28	4395	0	0	47
4.197	1	1	420	8	1	28	4395	0	0	47
4.198	1	1	420	9	1	28	4395	0	0	47
4.199	1	1	420	10	1	28	4395	0	0	47
4.34	1	1	435	1	1	28	4395	0	0	47
4.341	1	1	435	2	1	28	4395	0	0	47
4.342	1	1	435	3	1	28	4395	0	0	47
4.343	1	1	435	4	1	28	4395	0	0	47
4.344	1	1	435	5	1	28	4395	0	0	47
4.345	1	1	435	6	1	28	4395	0	0	47
4.346	1	1	435	7	1	28	4395	0	0	47
4.347	1	1	435	8	1	28	4395	0	0	47
4.348	1	1	435	9	1	28	4395	0	0	47
4.349	1	1	435	10	1	28	4395	0	0	47
4.35	1	1	436	1	1	28	4395	0	0	47
4.351	1	1	436	2	1	28	4395	0	0	47
4.352	1	1	436	3	1	28	4395	0	0	47
4.353	1	1	436	4	1	28	4395	0	0	47
4.354	1	1	436	5	1	28	4395	0	0	47
4.355	1	1	436	6	1	28	4395	0	0	47
4.356	1	1	436	7	1	28	4395	0	0	47
4.357	1	1	436	8	1	28	4395	0	0	47
4.358	1	1	436	9	1	28	4395	0	0	47
4.359	1	1	436	10	1	28	4395	0	0	47
4.36	1	1	437	1	1	28	4395	0	0	47
4.361	1	1	437	2	1	28	4395	0	0	47
4.362	1	1	437	3	1	28	4395	0	0	47
4.363	1	1	437	4	1	28	4395	0	0	47
4.364	1	1	437	5	1	28	4395	0	0	47
4.365	1	1	437	6	1	28	4395	0	0	47
4.366	1	1	437	7	1	28	4395	0	0	47
4.367	1	1	437	8	1	28	4395	0	0	47
4.368	1	1	437	9	1	28	4395	0	0	47
4.369	1	1	437	10	1	28	4395	0	0	47
4.37	1	1	438	1	1	28	4395	0	0	47
4.371	1	1	438	2	1	28	4395	0	0	47
4.372	1	1	438	3	1	28	4395	0	0	47
4.373	1	1	438	4	1	28	4395	0	0	47
4.374	1	1	438	5	1	28	4395	0	0	47
4.375	1	1	438	6	1	28	4395	0	0	47
4.376	1	1	438	7	1	28	4395	0	0	47
4.377	1	1	438	8	1	28	4395	0	0	47
4.378	1	1	438	9	1	28	4395	0	0	47
4.379	1	1	438	10	1	28	4395	0	0	47
4.38	1	1	439	1	1	28	4395	0	0	47
4.381	1	1	439	2	1	28	4395	0	0	47
4.382	1	1	439	3	1	28	4395	0	0	47
4.383	1	1	439	4	1	28	4395	0	0	47
4.384	1	1	439	5	1	28	4395	0	0	47
4.385	1	1	439	6	1	28	4395	0	0	47
4.386	1	1	439	7	1	28	4395	0	0	47
4.387	1	1	439	8	1	28	4395	0	0	47
4.388	1	1	439	9	1	28	4395	0	0	47
4.389	1	1	439	10	1	28	4395	0	0	47
4.39	1	1	440	1	1	28	4395	0	0	47
4.391	1	1	440	2	1	28	4395	0	0	47
4.392	1	1	440	3	1	28	4395	0	0	47
4.393	1	1	440	4	1	28	4395	0	0	47
4.394	1	1	440	5	1	28	4395	0	0	47
4.395	1	1	440	6	1	28	4395	0	0	47
4.396	1	1	440	7	1	28	4395	0	0	47
4.397	1	1	440	8	1	28	4395	0	0	47
4.398	1	1	440	9	1	28	4395	0	0	47
4.399	1	1	440	10	1	28	4395	0	0	47
4.4	1	1	441	1	1	28	4395	0	0	47
4.401	1	1	441	2	1	28	4395	0	0	47
4.402	1	1	441	3	1	28	4395	0	0	47
4.403	1	1	441	4	1	28	4395	0	0	47
4.404	1	1	441	5	1	28	4395	0	0	47
4.405	1	1	441	6	1	28	4395	0	0	47
4.406	1	1	441	7	1	28	4395	0	0	47
4.407	1	1	441	8	1	28	4395	0	0	47
4.408	1	1	441	9	1	28	4395	0	0	47
4.409	1	1	441	10	1	28	4395	0	0	47
4.41	1	1	442	1	1	28	4395	0	0	47
4.411	1	1	442	2	1	28	4395	0	0	47
4.412	1	1	442	3	1	28	4395	0	0	47
4.413	1	1	442	4	1	28	4395	0	0	47
4.414	1	1	442	5	1	28	4395	0	0	47
4.415	1	1	442	6	1	28	4395	0	0	47
4.416	1	1	442	7	1	28	4395	0	0	47
4.417	1	1	442	8	1	28	4395	0	0	47
4.418	1	1	442	9	1	28	4395	0	0	47
4.419	1	1	442	10	1	28	4395	0	0	47
4.42	1	1	443	1	1	28	4395	0	0	47
4.421	1	1	443	2	1	28	4395	0	0	47
4.422	1	1	443	3	1	28	4395	0	0	47
4.423	1	1	443	4	1	28	4395	0	0	47
4.424	1	1	443	5	1	28	4395	0	0	47
4.425	1	1	443	6	1	28	4395	0	0	47
4.426	1	1	443	7	1	28	4395	0	0	47
4.427	1	1	443	8	1	28	4395	0	0	47
4.428	1	1	443	9	1	28	4395	0	0	47
4.429	1	1	443	10	1	28	4395	0	0	47
4.43	1	1	444	1	1	28	4395	0	0	47
4.431	1	1	444	2	1	28	4395	0	0	47
4.432	1	1	444	3	1	28	4395	0	0	47
4.433	1	1	444	4	1	28	4395	0	0	47
4.434	1	1	444	5	1	28	4395	0	0	47
4.435	1	1	444	6	1	28	4395	0	0	47
4.436	1	1	444	7	1	28	4395	0	0	47
4.437	1	1	444	8	1	28	4395	0	0	47
4.438	1	1	444	9	1	28	4395	0	0	47
4.439	1	1	444	10	1	28	4395	0	0	47
4.44	1	1	445	1	1	28	4395	0	0	47
4.441	1	1	445	2	1	28	4395	0	0	47
4.442	1	1	445	3	1	28	4395	0	0	47
4.443	1	1	445	4	1	28	4395	0	0	47
4.444	1	1	445	5	1	28	4395	0	0	47
4.445	1	1	445	6	1	28	4395	0	0	47
4.446	1	1	445	7	1	28	4395	0	0	47
4.447	1	1	445	8	1	28	4395	0	0	47
4.448	1	1	445	9	1	28	4395	0	0	47
4.449	1	1	445	10	1	28	4395	0	0	47
4.45	1	1	446	1	1	28	4395	0	0	47
4.451	1	1	446	2	1	28	4395	0	0	47
4.452	1	1	446	3	1	28	4395	0	0	47
4.453	1	1	446	4	1	28	4395	0	0	47
4.454	1	1	446	5	1	28	4395	0	0	47
4.557	1	1	456	8	1	28	4395	0	0	47
4.558	1	1	456	9	1	28	4395	0	0	47
4.559	1	1	456	10	1	28	4395	0	0	47
